"PostOfficeName","Pincode","City","District","State"
"Sobhasar","331509","Churu","Churu","Rajasthan"
"Lodsar","331510","Churu","Churu","Rajasthan"
"Sandwa","331517","Churu","Churu","Rajasthan"
"Lalgarh Churu","331518","Churu","Churu","Rajasthan"
"Sidhmukh","331701","Churu","Churu","Rajasthan"
"Momasar","331801","Churu","Churu","Rajasthan"
"Rajaldesar","331802","Rajaldesar","Churu","Rajasthan"
"Rajaldesar Bazar","331802","Rajaldesar","Churu","Rajasthan"
"Kalubas Sri Dungargarh","331803","Churu","Churu","Rajasthan"
"Sri Dungargah","331803","Churu","Churu","Rajasthan"
"Bigga","331804","Churu","Churu","Rajasthan"
"Lachharasar","331805","Churu","Churu","Rajasthan"
"Sudsar","331811","Churu","Churu","Rajasthan"
"Marg","332001","Sikar","Sikar","Rajasthan"
"Siar Mochiwara","332001","Sikar","Sikar","Rajasthan"
"Sikar","332001","Sikar","Sikar","Rajasthan"
"Sikar Bajaj Road","332001","Sikar","Sikar","Rajasthan"
"Sikar Collectorate","332001","Sikar","Sikar","Rajasthan"
"Sikar Devipura","332001","Sikar","Sikar","Rajasthan"
"Sikar Fatehpuri Gate","332001","Sikar","Sikar","Rajasthan"
"Sikar Gandhinagar","332001","Sikar","Sikar","Rajasthan"
"Sikar Hospital Road","332001","Sikar","Sikar","Rajasthan"
"Sikar Mahamandir Road","332001","Sikar","Sikar","Rajasthan"
"Sikar Maulana Azad","332001","Sikar","Sikar","Rajasthan"
"Bajajgram Sikar","332021","Sikar","Sikar","Rajasthan"
"Dhod","332022","Sikar","Sikar","Rajasthan"
"Khoor","332023","Sikar","Sikar","Rajasthan"
"Katrathal","332024","Sikar","Sikar","Rajasthan"
"Losal","332025","Losal","Sikar","Rajasthan"
"Losal Bazar","332025","Losal","Sikar","Rajasthan"
"Nechwa","332026","Sikar","Sikar","Rajasthan"
"Piprali","332027","Sikar","Sikar","Rajasthan"
"Sihot Badi","332028","Sikar","Sikar","Rajasthan"
"Ganeri","332029","Sikar","Sikar","Rajasthan"
"Singrawat","332030","Sikar","Sikar","Rajasthan"
"Kudan","332031","Sikar","Sikar","Rajasthan"
"Dujod","332032","Sikar","Sikar","Rajasthan"
"Sihot Chhoti","332033","Sikar","Sikar","Rajasthan"
"R C P Colony","332034","Sikar","Sikar","Rajasthan"
"Raghunathgarh","332034","Sikar","Sikar","Rajasthan"
"Harash","332035","Sikar","Sikar","Rajasthan"
"Dadia","332036","Sikar","Sikar","Rajasthan"
"Banura","332037","Sikar","Sikar","Rajasthan"
"Gungara","332038","Sikar","Sikar","Rajasthan"
"Kasli Sikar","332039","Sikar","Sikar","Rajasthan"
"Kolida","332040","Sikar","Sikar","Rajasthan"
"Phagalwa","332041","Sikar","Sikar","Rajasthan"
"Tatonwa","332042","Sikar","Sikar","Rajasthan"
"Garoda","332043","Sikar","Sikar","Rajasthan"
"Mangloona","332044","Sikar","Sikar","Rajasthan"
"Beri","332045","Sikar","Sikar","Rajasthan"
"College Road Fatehpur","332301","Sikar","Sikar","Rajasthan"
"Fatehpur Bazar","332301","Sikar","Sikar","Rajasthan"
"Fatehpur Sekhawati","332301","Sikar","Sikar","Rajasthan"
"Sikariya Bazar Fatehpur","332301","Sikar","Sikar","Rajasthan"
"Dhandhan","332302","Sikar","Sikar","Rajasthan"
"Besawa","332303","Sikar","Sikar","Rajasthan"
"Rolsabsar","332304","Sikar","Sikar","Rajasthan"
"Sadinsar","332305","Sikar","Sikar","Rajasthan"
"Nabipura","332306","Sikar","Sikar","Rajasthan"
"Tihawali","332307","Sikar","Sikar","Rajasthan"
"Sekhisar","332308","Sikar","Sikar","Rajasthan"
"Lachhmangarh Bazar","332311","Sikar","Sikar","Rajasthan"
"Lachhmangarh Sekhawati","332311","Sikar","Sikar","Rajasthan"
"Nayama Bazar","332311","Sikar","Sikar","Rajasthan"
"Patoda","332312","Sikar","Sikar","Rajasthan"
"Khuri Badi Sikar","332313","Sikar","Sikar","Rajasthan"
"Dhaliawas","332314","Sikar","Sikar","Rajasthan"
"Jankipura","332315","Sikar","Sikar","Rajasthan"
"Bidarsar","332316","Sikar","Sikar","Rajasthan"
"Rorubadi","332317","Sikar","Sikar","Rajasthan"
"Jajod Fatehpur","332318","Sikar","Sikar","Rajasthan"
"Balaran","332401","Sikar","Sikar","Rajasthan"
"Palsana","332402","Sikar","Sikar","Rajasthan"
"Ranoli","332403","Sikar","Sikar","Rajasthan"
"Hospital Road Ringas","332404","Sikar","Sikar","Rajasthan"
"Ringas","332404","Sikar","Sikar","Rajasthan"
"Ringas Town","332404","Sikar","Sikar","Rajasthan"
"Shishu","332405","Sikar","Sikar","Rajasthan"
"Kochhor","332406","Sikar","Sikar","Rajasthan"
"Jetusar","332407","Sikar","Sikar","Rajasthan"
"Malikpur","332408","Sikar","Sikar","Rajasthan"
"Lakhni","332409","Sikar","Sikar","Rajasthan"
"Bhopatpura","332410","Sikar","Sikar","Rajasthan"
"Baori","332411","Sikar","Sikar","Rajasthan"
"Churi Miyan","332412","Sikar","Sikar","Rajasthan"
"Dadia Rampura","332413","Sikar","Sikar","Rajasthan"
"Baya","332601","Sikar","Sikar","Rajasthan"
"Khatu Shyamji Ki","332602","Sikar","Sikar","Rajasthan"
"Mehrauli","332603","Sikar","Sikar","Rajasthan"
"Abhawas","332604","Sikar","Sikar","Rajasthan"
"Chomu Purohitan","332605","Sikar","Sikar","Rajasthan"
"Ajitgarh Amarsar","332701","Sikar","Sikar","Rajasthan"
"Danta","332702","Sikar","Sikar","Rajasthan"
"Danta Ramgarh","332703","Sikar","Sikar","Rajasthan"
"Deorala","332704","Sikar","Sikar","Rajasthan"
"Ganeshwar","332705","Sikar","Sikar","Rajasthan"
"Guhala","332706","Sikar","Sikar","Rajasthan"
"Jharli","332707","Sikar","Sikar","Rajasthan"
"Kanwat Town","332708","Sikar","Sikar","Rajasthan"
"Khandela","332709","Khandela","Baran","Rajasthan"
"Nehru Park Khandela","332709","Sikar","Sikar","Rajasthan"
"Khachariawas","332710","Sikar","Sikar","Rajasthan"
"Monda R S","332711","Sikar","Sikar","Rajasthan"
"Mundru","332712","Sikar","Sikar","Rajasthan"
"Nim Ka Thana","332713","Sikar","Sikar","Rajasthan"
"Nim Ka Thana Bazar","332713","Sikar","Sikar","Rajasthan"
"Nim Ka Thana Town","332713","Sikar","Sikar","Rajasthan"
"Sirohi Sikar","332714","Sikar","Sikar","Rajasthan"
"Gaushala Road","332715","Sikar","Sikar","Rajasthan"
"Sri Madhopur","332715","Sri Madhopur","Sikar","Rajasthan"
"Sri Madhopur Bazar","332715","Sri Madhopur","Sikar","Rajasthan"
"Surana Bazar","332715","Sikar","Sikar","Rajasthan"
"Sefraguwar","332716","JhunJhunu","JhunJhunu","Rajasthan"
"Tiba Basai","332717","JhunJhunu","JhunJhunu","Rajasthan"
"Patan","332718","Sikar","Sikar","Rajasthan"
"Thoi","332719","Sikar","Sikar","Rajasthan"
"Gurara","332721","Sikar","Sikar","Rajasthan"
"Jajod Sri Madhopur","332722","Sikar","Sikar","Rajasthan"
"Karad","332723","Sikar","Sikar","Rajasthan"
"Ganwari","332724","Karauli","Karauli","Rajasthan"
"Lorwara","332725","Sikar","Sikar","Rajasthan"
"Jairampura","332726","Sikar","Sikar","Rajasthan"
"Dabla Sikar","332727","Sikar","Sikar","Rajasthan"
"Hod","332728","Sikar","Sikar","Rajasthan"
"Pachar","332729","Sikar","Sikar","Rajasthan"
"Jalpali","332730","Sikar","Sikar","Rajasthan"
"Nathusar","332731","Sikar","Sikar","Rajasthan"
"Puranabas","332732","Sikar","Sikar","Rajasthan"
"Purani Chhawni","332732","Sikar","Sikar","Rajasthan"
"Chak Gopinathpura","332733","Sikar","Sikar","Rajasthan"
"Ralawats Sikar","332734","Sikar","Sikar","Rajasthan"
"Mau","332735","Sikar","Sikar","Rajasthan"
"Bhudoli","332736","Sikar","Sikar","Rajasthan"
"Chala","332737","Sikar","Sikar","Rajasthan"
"Chaukari","332738","Sikar","Sikar","Rajasthan"
"Govindpura","332739","Sikar","Sikar","Rajasthan"
"Kotri Sikar","332740","Sikar","Sikar","Rajasthan"
"Mandholi","332741","Sikar","Sikar","Rajasthan"
"Mandha Surera","332742","Sikar","Sikar","Rajasthan"
"Hassampur","332743","Sikar","Sikar","Rajasthan"
"Jeelo","332744","Sikar","Sikar","Rajasthan"
"Pritampuri","332745","Sikar","Sikar","Rajasthan"
"Doodwa","332747","Sikar","Sikar","Rajasthan"
"Gorir","332748","Sikar","Sikar","Rajasthan"
"Jhunjhunu","333001","JhunJhunu","JhunJhunu","Rajasthan"
"Jhunjhunu Bazar","333001","JhunJhunu","JhunJhunu","Rajasthan"
"Jhunjhunu City","333001","JhunJhunu","JhunJhunu","Rajasthan"
"Jhunjhunu Court","333001","JhunJhunu","JhunJhunu","Rajasthan"
"Jhunjhunu Footla Bazar","333001","JhunJhunu","JhunJhunu","Rajasthan"
"Jhunjhunu Gandhi Chowk","333001","JhunJhunu","JhunJhunu","Rajasthan"
"Rani Sati Mandir","333001","JhunJhunu","JhunJhunu","Rajasthan"
"Dhanuri","333011","JhunJhunu","JhunJhunu","Rajasthan"
"Titanwar","333012","JhunJhunu","JhunJhunu","Rajasthan"
"Bakhtawarpura","333014","JhunJhunu","JhunJhunu","Rajasthan"
"Binjusar","333015","JhunJhunu","JhunJhunu","Rajasthan"
"Chhawasari","333016","JhunJhunu","JhunJhunu","Rajasthan"
"Baragaon","333021","JhunJhunu","JhunJhunu","Rajasthan"
"Gudha Gorji Ka","333022","JhunJhunu","JhunJhunu","Rajasthan"
"Bagar","333023","JhunJhunu","JhunJhunu","Rajasthan"
"Islampur","333024","JhunJhunu","JhunJhunu","Rajasthan"
"Alsisar","333025","JhunJhunu","JhunJhunu","Rajasthan"
"Mandrella","333025","JhunJhunu","JhunJhunu","Rajasthan"
"Chirawa","333026","Chirawa","JhunJhunu","Rajasthan"
"Chirawa Town","333026","Chirawa","JhunJhunu","Rajasthan"
"Hospital Road Chirawa","333026","JhunJhunu","JhunJhunu","Rajasthan"
"Ardawata","333027","JhunJhunu","JhunJhunu","Rajasthan"
"Sultana","333028","JhunJhunu","JhunJhunu","Rajasthan"
"Surajgarh","333029","Surajgarh","JhunJhunu","Rajasthan"
"Surajgarh Bazar","333029","JhunJhunu","JhunJhunu","Rajasthan"
"Kajara","333030","JhunJhunu","JhunJhunu","Rajasthan"
"Ceeri Pilani","333031","JhunJhunu","JhunJhunu","Rajasthan"
"Pilani","333031","Pilani","JhunJhunu","Rajasthan"
"V V Pilani","333031","JhunJhunu","JhunJhunu","Rajasthan"
"Bhorki","333032","JhunJhunu","JhunJhunu","Rajasthan"
"Jakhod","333033","JhunJhunu","JhunJhunu","Rajasthan"
"Kuharwas","333034","JhunJhunu","JhunJhunu","Rajasthan"
"Narhar","333035","JhunJhunu","JhunJhunu","Rajasthan"
"Budana","333036","JhunJhunu","JhunJhunu","Rajasthan"
"Papurana","333037","JhunJhunu","JhunJhunu","Rajasthan"
"Aduka","333038","JhunJhunu","JhunJhunu","Rajasthan"
"Kithana","333039","JhunJhunu","JhunJhunu","Rajasthan"
"Ojtu","333040","JhunJhunu","JhunJhunu","Rajasthan"
"Nua","333041","JhunJhunu","JhunJhunu","Rajasthan"
"Nangal Rajwatan","333042","JhunJhunu","JhunJhunu","Rajasthan"
"Nawalgarh","333042","Nawalgarh","JhunJhunu","Rajasthan"
"Nawalgarh Bazar","333042","Nawalgarh","JhunJhunu","Rajasthan"
"Station Road Nawalgarh","333042","JhunJhunu","JhunJhunu","Rajasthan"
"Tarpura","333043","JhunJhunu","JhunJhunu","Rajasthan"
"Chobdaron Ki Dhani","333044","JhunJhunu","JhunJhunu","Rajasthan"
"Barwasi","333045","JhunJhunu","JhunJhunu","Rajasthan"
"Gangiasar","333046","JhunJhunu","JhunJhunu","Rajasthan"
"Bajawa","333047","JhunJhunu","JhunJhunu","Rajasthan"
"Bai","333048","JhunJhunu","JhunJhunu","Rajasthan"
"Shimla","333048","JhunJhunu","JhunJhunu","Rajasthan"
"Jejusar","333052","JhunJhunu","JhunJhunu","Rajasthan"
"Ponkh","333053","JhunJhunu","JhunJhunu","Rajasthan"
"Basawa","333301","JhunJhunu","JhunJhunu","Rajasthan"
"Chhapoli","333302","JhunJhunu","JhunJhunu","Rajasthan"
"Chirana","333303","JhunJhunu","JhunJhunu","Rajasthan"
"Jhajhar","333304","JhunJhunu","JhunJhunu","Rajasthan"
"Jakhal","333305","JhunJhunu","JhunJhunu","Rajasthan"
"Khirod","333306","JhunJhunu","JhunJhunu","Rajasthan"
"Udaipurwati","333307","Udaipurwati","JhunJhunu","Rajasthan"
"Parasrampura","333308","JhunJhunu","JhunJhunu","Rajasthan"
"Naya Parasrampura","333309","JhunJhunu","JhunJhunu","Rajasthan"
"Pachlangi","333310","JhunJhunu","JhunJhunu","Rajasthan"
"Kari","333311","JhunJhunu","JhunJhunu","Rajasthan"
"Bugala","333312","JhunJhunu","JhunJhunu","Rajasthan"
"Dhamora","333313","JhunJhunu","JhunJhunu","Rajasthan"
"Signore","333314","JhunJhunu","JhunJhunu","Rajasthan"
"Inderpura","333315","JhunJhunu","JhunJhunu","Rajasthan"
"Babai","333501","JhunJhunu","JhunJhunu","Rajasthan"
"Buhana","333502","JhunJhunu","JhunJhunu","Rajasthan"
"Khetri","333503","Khetri","JhunJhunu","Rajasthan"
"Khetri Bazar","333503","JhunJhunu","JhunJhunu","Rajasthan"
"Khetri Court","333503","JhunJhunu","JhunJhunu","Rajasthan"
"Kolihan Nagar","333503","JhunJhunu","JhunJhunu","Rajasthan"
"C S F Colony Khetrinagar","333504","JhunJhunu","JhunJhunu","Rajasthan"
"K C F Township Khetrinaga","333504","JhunJhunu","JhunJhunu","Rajasthan"
"Khetrinagar","333504","JhunJhunu","JhunJhunu","Rajasthan"
"Jasrapur","333514","JhunJhunu","JhunJhunu","Rajasthan"
"Pacheri Badi","333515","JhunJhunu","JhunJhunu","Rajasthan"
"Singhana","333516","JhunJhunu","JhunJhunu","Rajasthan"
"Barau","333517","JhunJhunu","JhunJhunu","Rajasthan"
"Churi Ajitgarh","333701","JhunJhunu","JhunJhunu","Rajasthan"
"Dundlod","333702","JhunJhunu","JhunJhunu","Rajasthan"
"Hanumanpura","333703","JhunJhunu","JhunJhunu","Rajasthan"
"Mandawa","333704","Mandawa","JhunJhunu","Rajasthan"
"Mandawa Bazar","333704","Mandawa","JhunJhunu","Rajasthan"
"College Road Mukandgarh","333705","JhunJhunu","JhunJhunu","Rajasthan"
"Mukandgarh","333705","Mukandgarh","JhunJhunu","Rajasthan"
"Dundlod Rs","333706","JhunJhunu","JhunJhunu","Rajasthan"
"Doomra","333707","JhunJhunu","JhunJhunu","Rajasthan"
"Jetsar Farm","333709","JhunJhunu","JhunJhunu","Rajasthan"
"Bikaner","334001","Bikaner","Bikaner","Rajasthan"
"Bikaner City","334001","Bikaner","Bikaner","Rajasthan"
"Bikaner Dungar College","334001","Bikaner","Bikaner","Rajasthan"
"Bikaner Kutchery","334001","Bikaner","Bikaner","Rajasthan"
"D S Office Bikaner","334001","Bikaner","Bikaner","Rajasthan"
"Goga Gate Bikaner","334001","Bikaner","Bikaner","Rajasthan"
"Goswami Chowk Bikaner","334001","Bikaner","Bikaner","Rajasthan"
"Industrial Area Bikaner","334001","Bikaner","Bikaner","Rajasthan"
"Jail Road Bikaner","334001","Bikaner","Bikaner","Rajasthan"
"Jassusar Gate Bikaner","334001","Bikaner","Bikaner","Rajasthan"
"Kote Gate Bikaner","334001","Bikaner","Bikaner","Rajasthan"
"Lalgarh Palace Bikaner","334001","Bikaner","Bikaner","Rajasthan"
"Lalgarh Road Bikaner","334001","Bikaner","Bikaner","Rajasthan"
"Lalkar Bikaner","334001","Bikaner","Bikaner","Rajasthan"
"Mahatma Gandhi Road Bikan","334001","Bikaner","Bikaner","Rajasthan"
"Mohta Chowk Bikaner","334001","Bikaner","Bikaner","Rajasthan"
"Pabu Bari Bikaner","334001","Bikaner","Bikaner","Rajasthan"
"Railway Workshop Bikaner","334001","Bikaner","Bikaner","Rajasthan"
"Rani Bazar Bikaner","334001","Bikaner","Bikaner","Rajasthan"
"Rath Khana Bikaner","334001","Bikaner","Bikaner","Rajasthan"
"Sadul Colony Bikaner","334001","Bikaner","Bikaner","Rajasthan"
"Sitla Gate Bikaner","334001","Bikaner","Bikaner","Rajasthan"
"Station Road Bikaner","334001","Bikaner","Bikaner","Rajasthan"
"Subashpura Bikaner","334001","Bikaner","Bikaner","Rajasthan"
"Bikaner","334002","Bikaner","Bikaner","Rajasthan"
"Chhatargarh","334021","Bikaner","Bikaner","Rajasthan"
"Udasar","334022","Bikaner","Bikaner","Rajasthan"
"Khajuwala","334023","Bikaner","Bikaner","Rajasthan"
"Napasar","334201","Bikaner","Bikaner","Rajasthan"
"Sinthal","334202","Bikaner","Bikaner","Rajasthan"
"Gajner Palace","334301","Bikaner","Bikaner","Rajasthan"
"Sri Kolayatji","334302","Bikaner","Bikaner","Rajasthan"
"Diatra","334303","Bikaner","Bikaner","Rajasthan"
"Jhajhu","334304","Bikaner","Bikaner","Rajasthan"
"Bajju","334305","Bikaner","Bikaner","Rajasthan"
"Gangashahar","334401","Bikaner","Bikaner","Rajasthan"
"Nai Line Gangashahar","334401","Bikaner","Bikaner","Rajasthan"
"Udairmsar","334402","Bikaner","Bikaner","Rajasthan"
"Bhinasar","334403","Bikaner","Bikaner","Rajasthan"
"Palana","334404","Bikaner","Bikaner","Rajasthan"
"Jamsar","334601","Bikaner","Bikaner","Rajasthan"
"Kalu","334602","Bikaner","Bikaner","Rajasthan"
"Lunkaransar","334603","Bikaner","Bikaner","Rajasthan"
"Mahajan","334604","Bikaner","Bikaner","Rajasthan"
"Deshnok","334801","Bikaner","Bikaner","Rajasthan"
"Himatsar","334802","Bikaner","Bikaner","Rajasthan"
"Nokha","334803","Nokha","Bikaner","Rajasthan"
"Tehsil Road Nokha","334803","Bikaner","Bikaner","Rajasthan"
"Panchu","334804","Bikaner","Bikaner","Rajasthan"
"Block Area Sri","335001","Ganganagar","Ganganagar","Rajasthan"
"Ganga Nagar","335001","Ganganagar","Ganganagar","Rajasthan"
"Gaushala Road Sri","335001","Ganganagar","Ganganagar","Rajasthan"
"Industrial Estate Sri","335001","Ganganagar","Ganganagar","Rajasthan"
"Mandi Sri Ganganagar","335001","Ganganagar","Ganganagar","Rajasthan"
"Purani Abadi Sri","335001","Ganganagar","Ganganagar","Rajasthan"
"Ravinder Path Sri","335001","Ganganagar","Ganganagar","Rajasthan"
"Sri Ganganagar","335001","Ganganagar","Ganganagar","Rajasthan"
"Sri Ganganagar R S","335001","Ganganagar","Ganganagar","Rajasthan"
"Sugar Factory Sri","335001","Ganganagar","Ganganagar","Rajasthan"
"Bishanpura","335021","Ganganagar","Ganganagar","Rajasthan"
"Chunawadh","335022","Ganganagar","Ganganagar","Rajasthan"
"Dalpatsinghpur","335023","Ganganagar","Ganganagar","Rajasthan"
"Gajsinghpur","335024","Gajsinghpur","Ganganagar","Rajasthan"
"Ganeshgarh","335025","Ganganagar","Ganganagar","Rajasthan"
"Ganguwala","335026","Ganganagar","Ganganagar","Rajasthan"
"Keshrisinghpur","335027","Ganganagar","Ganganagar","Rajasthan"
"Lalgarh Jatan","335037","Ganganagar","Ganganagar","Rajasthan"
"Mirzawala","335038","Ganganagar","Ganganagar","Rajasthan"
"Muk Lawa","335039","Ganganagar","Ganganagar","Rajasthan"
"Nizampura","335040","Ganganagar","Ganganagar","Rajasthan"
"Padampur","335041","Padampur","Ganganagar","Rajasthan"
"Dabla Sri Ganganagar","335042","Ganganagar","Ganganagar","Rajasthan"
"Matili Rathan","335043","Ganganagar","Ganganagar","Rajasthan"
"Raisinghangar City","335051","Raisinghnagar","Ganganagar","Rajasthan"
"Raisinghnagar","335051","Raisinghnagar","Ganganagar","Rajasthan"
"Ridmalsar","335061","Ganganagar","Ganganagar","Rajasthan"
"Sadulshahar","335062","Sadulshahar","Ganganagar","Rajasthan"
"Sangaria Mandi","335063","Hanumangarh","Hanumangarh","Rajasthan"
"Sangaria R S","335063","Hanumangarh","Hanumangarh","Rajasthan"
"V P Sangaria","335063","Hanumangarh","Hanumangarh","Rajasthan"
"Dholipal","335064","Ganganagar","Ganganagar","Rajasthan"
"Manaksar","335065","Ganganagar","Ganganagar","Rajasthan"
"Sri Karanpur","335073","Ganganagar","Ganganagar","Rajasthan"
"Theri Sri Karanpur","335073","Ganganagar","Ganganagar","Rajasthan"
"Naggi","335074","Ganganagar","Ganganagar","Rajasthan"
"Bahadra","335501","Ganganagar","Ganganagar","Rajasthan"
"Bahadra Bazar","335501","Ganganagar","Ganganagar","Rajasthan"
"Kalana","335502","Ganganagar","Ganganagar","Rajasthan"
"Dabri","335503","Ganganagar","Ganganagar","Rajasthan"
"Gogameri","335504","Ganganagar","Ganganagar","Rajasthan"
"Chhani Bari","335511","Ganganagar","Ganganagar","Rajasthan"
"Civil Line Hanumangarh Jn","335512","Ganganagar","Ganganagar","Rajasthan"
"Hanumangarh Jn","335512","Ganganagar","Ganganagar","Rajasthan"
"Hanumangarh Jn","335512","Ganganagar","Ganganagar","Rajasthan"
"Hanumangarh Jn Court","335512","Ganganagar","Ganganagar","Rajasthan"
"Industrial Area","335512","Ganganagar","Ganganagar","Rajasthan"
"Hanumangarh Town","335513","Ganganagar","Ganganagar","Rajasthan"
"Hanumangarh Town Bazar","335513","Ganganagar","Ganganagar","Rajasthan"
"Hanumangarh Town Nai Mand","335513","Ganganagar","Ganganagar","Rajasthan"
"Malkhera","335514","Ganganagar","Ganganagar","Rajasthan"
"Surewala","335515","Ganganagar","Ganganagar","Rajasthan"
"Nohar","335523","Nohar","Hanumangarh","Rajasthan"
"Nohar Bazar","335523","Hanumangarh","Hanumangarh","Rajasthan"
"Rawatsar Sri Ganganagar","335524","Ganganagar","Ganganagar","Rajasthan"
"Talwara Jhil","335525","Ganganagar","Ganganagar","Rajasthan"
"Tibi","335526","Ganganagar","Ganganagar","Rajasthan"
"Phephana","335527","Ganganagar","Ganganagar","Rajasthan"
"Jasana","335528","Ganganagar","Ganganagar","Rajasthan"
"Anupgarh","335701","Anupgarh","Ganganagar","Rajasthan"
"Jetsar","335702","Ganganagar","Ganganagar","Rajasthan"
"Ramsinghpur","335703","Ganganagar","Ganganagar","Rajasthan"
"Sri Bijeynagar","335704","Ganganagar","Ganganagar","Rajasthan"
"Sardargarh","335705","Ganganagar","Ganganagar","Rajasthan"
"Mohannagar","335706","Ganganagar","Ganganagar","Rajasthan"
"Gharsana","335707","Ganganagar","Ganganagar","Rajasthan"
"Bajuwala","335708","Ganganagar","Ganganagar","Rajasthan"
"Sardarpura Bika","335710","Ganganagar","Ganganagar","Rajasthan"
"Dabali Rathan","335801","Ganganagar","Ganganagar","Rajasthan"
"Goluwala","335802","Ganganagar","Ganganagar","Rajasthan"
"Pilibanga","335803","Pilibanga","Ganganagar","Rajasthan"
"R C P Colony","335804","Ganganagar","Ganganagar","Rajasthan"
"Suratgarh","335804","Suratgarh","Ganganagar","Rajasthan"
"Suratgarh City","335804","Suratgarh","Ganganagar","Rajasthan"
"Biradhwal Head","335805","Ganganagar","Ganganagar","Rajasthan"
"Panditanwalii","335806","Ganganagar","Ganganagar","Rajasthan"
"Rajiasar","335807","Ganganagar","Ganganagar","Rajasthan"
"Hindumalkot","335901","Ganganagar","Ganganagar","Rajasthan"
"Maderan","335902","Ganganagar","Ganganagar","Rajasthan"
"Nagaur","341001","Nagaur","Nagaur","Rajasthan"
"Nagaur Banshiwala Temple","341001","Nagaur","Nagaur","Rajasthan"
"Nagaur City","341001","Nagaur","Nagaur","Rajasthan"
"Nagaur Loharpura","341001","Nagaur","Nagaur","Rajasthan"
"Nagaur Police Line","341001","Nagaur","Nagaur","Rajasthan"
"Palanipet","341002","Nagaur","Nagaur","Rajasthan"
"Gogalao","341011","Nagaur","Nagaur","Rajasthan"
"Alai","341012","Nagaur","Nagaur","Rajasthan"
"Bhadwasi","341013","Nagaur","Nagaur","Rajasthan"
"Basni","341021","Nagaur","Nagaur","Rajasthan"
"Deh","341022","Nagaur","Nagaur","Rajasthan"
"Jael","341023","Nagaur","Nagaur","Rajasthan"
"Kuchera","341024","Kuchera","Nagaur","Rajasthan"
"Khinwsar","341025","Nagaur","Nagaur","Rajasthan"
"Marwar Mundwa","341026","Nagaur","Nagaur","Rajasthan"
"Rol","341027","Nagaur","Nagaur","Rajasthan"
"Khajwana","341028","Nagaur","Nagaur","Rajasthan"
"Sri Balaji","341029","Nagaur","Nagaur","Rajasthan"
"Tarnau","341030","Nagaur","Nagaur","Rajasthan"
"Padu Kallan","341031","Nagaur","Nagaur","Rajasthan"
"Kathoti","341032","Nagaur","Nagaur","Rajasthan"
"Rajod","341033","Nagaur","Nagaur","Rajasthan"
"Roon","341034","Nagaur","Nagaur","Rajasthan"
"Padu Khurd","341035","Nagaur","Nagaur","Rajasthan"
"Bari Khatu","341301","Nagaur","Nagaur","Rajasthan"
"Chhoti Khatu","341302","Nagaur","Nagaur","Rajasthan"
"Didwana","341303","Didwana","Nagaur","Rajasthan"
"Didwana Dhan Mandi","341303","Didwana","Nagaur","Rajasthan"
"Didwana Station Road","341303","Didwana","Nagaur","Rajasthan"
"Jaswantgarh Nagaur","341304","Nagaur","Nagaur","Rajasthan"
"Mandore","341304","Nagaur","Nagaur","Rajasthan"
"Koliya","341305","Nagaur","Nagaur","Rajasthan"
"Ladnun","341306","Nagaur","Nagaur","Rajasthan"
"Ladnun Pahalipatti","341306","Nagaur","Nagaur","Rajasthan"
"Ladnun Rahugate","341306","Nagaur","Nagaur","Rajasthan"
"Ladnun Railway Station","341306","Nagaur","Nagaur","Rajasthan"
"Malar","341313","Nagaur","Nagaur","Rajasthan"
"Nimbi Jodhan","341316","Nagaur","Nagaur","Rajasthan"
"Ratau","341317","Nagaur","Nagaur","Rajasthan"
"Khunkhuna","341318","Nagaur","Nagaur","Rajasthan"
"Toshina","341319","Nagaur","Nagaur","Rajasthan"
"Badu","341501","Nagaur","Nagaur","Rajasthan"
"Borawar","341502","Nagaur","Nagaur","Rajasthan"
"Degana","341503","Nagaur","Nagaur","Rajasthan"
"Gachhipura","341504","Nagaur","Nagaur","Rajasthan"
"Makrana","341505","Makrana","Nagaur","Rajasthan"
"Makrana Industrial Area","341505","Makrana","Nagaur","Rajasthan"
"Makrana S B","341505","Makrana","Nagaur","Rajasthan"
"Maulasar","341506","Nagaur","Nagaur","Rajasthan"
"Maroth","341507","Nagaur","Nagaur","Rajasthan"
"Kuchaman","341508","Nagaur","Nagaur","Rajasthan"
"Paltangate Kuchaman","341508","Nagaur","Nagaur","Rajasthan"
"Station Road","341508","Nagaur","Nagaur","Rajasthan"
"Industrial Area","341509","Nagaur","Nagaur","Rajasthan"
"Kuchaman Road","341509","Nagaur","Nagaur","Rajasthan"
"Merta City","341510","Merta City","Nagaur","Rajasthan"
"Merta Kacheri","341510","Merta City","Nagaur","Rajasthan"
"Merta Rs","341510","Merta City","Nagaur","Rajasthan"
"Merta Road","341511","Merta City","Nagaur","Rajasthan"
"Parbatsar","341512","Parbatsar","Nagaur","Rajasthan"
"Pargatsar K C","341512","Nagaur","Nagaur","Rajasthan"
"Riyan","341513","Nagaur","Nagaur","Rajasthan"
"Ren","341514","Nagaur","Nagaur","Rajasthan"
"Harsore","341515","Nagaur","Nagaur","Rajasthan"
"Dhankoli","341516","Nagaur","Nagaur","Rajasthan"
"Ladariya","341517","Nagaur","Nagaur","Rajasthan"
"Jasnagar","341518","Nagaur","Nagaur","Rajasthan"
"Kukanwali","341519","Nagaur","Nagaur","Rajasthan"
